client_id,age,satisfaction_score,purchase_count,total_purchase_value,avg_purchase_value,avg_floor_area,investment_flag,loan_flag,office_share,apartment_share,corporate_flag,cluster
C0001,58.0,4,4,1246764.72,311691.18,983.885,0,1,0.0,1.0,0,4
C0002,64.0,1,5,1841095.9300000002,368219.18600000005,1187.942,0,0,0.0,1.0,0,5
C0003,67.0,4,5,1661457.5899999999,332291.518,1058.1100000000001,0,1,0.0,1.0,0,4
C0004,67.0,5,6,1608263.51,268043.91833333333,937.1033333333334,0,0,0.0,1.0,0,1
C0005,51.0,5,13,3653385.38,281029.64461538463,927.2961538461539,1,0,0.0,1.0,1,1
C0006,69.0,3,5,1514131.06,302826.212,989.5899999999999,0,1,0.0,1.0,0,4
C0007,79.0,5,11,3251147.83,295558.8936363636,995.6936363636363,1,0,0.0,1.0,0,1
C0008,57.0,5,5,1476730.4100000001,295346.08200000005,1031.106,0,0,0.2,0.8,0,2
C0009,51.0,5,5,1820832.35,364166.47000000003,1305.644,1,0,0.2,0.8,0,0
C0010,60.0,3,5,1732434.0,346486.8,1140.206,1,0,0.2,0.8,0,6
C0011,70.0,2,5,1325211.52,265042.304,935.914,0,1,0.2,0.8,0,7
C0012,51.0,5,4,1599526.4,399881.6,1317.445,1,0,0.0,1.0,1,3
C0013,64.0,1,5,2142750.89,428550.178,1407.376,0,1,0.0,1.0,0,5
C0014,46.0,3,4,1548140.0699999998,387035.01749999996,1280.5425,0,1,0.0,1.0,1,3
C0015,85.0,5,5,1585907.37,317181.47400000005,1030.764,0,0,0.0,1.0,0,4
C0016,88.0,5,4,1010217.73,252554.4325,842.145,1,0,0.0,1.0,0,6
C0017,49.0,3,5,1778693.75,355738.75,1195.8139999999999,0,0,0.2,0.8,0,0
C0018,59.0,2,4,1061478.67,265369.6675,913.8325,0,1,0.0,1.0,0,4
C0019,69.0,5,4,1773474.26,443368.565,1402.0425,0,1,0.5,0.5,0,0
C0020,59.0,5,4,1508032.25,377008.0625,1307.08,0,0,0.0,1.0,0,5
C0021,88.0,3,6,1928172.72,321362.12,1028.86,1,0,0.0,1.0,0,1
C0022,60.0,5,4,1372403.2,343100.8,1247.4850000000001,1,0,0.0,1.0,0,6
C0023,68.0,3,5,1457871.69,291574.338,948.3880000000001,0,1,0.0,1.0,0,4
C0024,63.0,4,6,1884156.9000000001,314026.15,1053.735,1,0,0.0,1.0,0,1
C0025,90.0,2,5,1694448.83,338889.766,1120.576,0,1,0.0,1.0,0,5
C0026,64.0,5,10,2932241.75,293224.175,1002.383,1,0,0.1,0.9,0,1
C0027,58.0,5,5,1517969.44,303593.888,1070.234,0,1,0.4,0.6,0,7
C0028,68.0,3,5,1791082.79,358216.558,1266.366,0,0,0.2,0.8,0,0
C0029,51.0,4,4,1247795.31,311948.8275,993.05,0,1,0.25,0.75,0,7
C0030,74.0,3,4,1547311.29,386827.8225,1279.3725,0,0,0.0,1.0,0,5
C0031,49.0,4,5,1077148.21,215429.642,677.3399999999999,0,1,0.2,0.8,0,7
C0032,60.0,4,5,1888995.1600000001,377799.032,1282.528,0,0,0.2,0.8,0,0
C0033,58.0,3,4,1404998.67,351249.6675,1250.4325,0,1,0.25,0.75,0,7
C0034,57.0,2,5,1632608.66,326521.73199999996,1160.556,0,0,0.0,1.0,0,5
C0035,61.0,3,5,1987876.4,397575.27999999997,1445.752,0,0,0.0,1.0,0,5
C0036,54.0,4,4,1173683.53,293420.8825,963.325,0,0,0.0,1.0,0,4
C0037,65.0,5,5,1607228.75,321445.75,1018.368,0,1,0.0,1.0,0,4
C0038,52.0,4,4,1175129.27,293782.3175,1105.1225,1,0,0.25,0.75,0,2
C0039,59.0,1,4,1858527.54,464631.885,1365.68,0,0,0.25,0.75,0,0
C0040,52.0,5,6,1854608.29,309101.38166666665,1047.8,0,0,0.0,1.0,0,1
C0041,59.0,1,5,1374460.79,274892.158,872.838,0,1,0.4,0.6,0,7
C0042,51.0,1,4,1101390.25,275347.5625,913.8425,0,1,0.25,0.75,0,7
C0043,61.0,3,4,1126492.46,281623.115,983.505,1,1,0.0,1.0,0,6
C0044,96.0,3,4,1330493.26,332623.315,1106.8675,0,0,0.0,1.0,0,4
C0045,58.0,2,5,1463432.3599999999,292686.47199999995,913.774,1,0,0.0,1.0,0,6
C0046,62.0,5,8,2026517.4,253314.675,857.8050000000001,0,0,0.0,1.0,0,1
C0047,56.0,2,5,1438239.28,287647.856,953.568,0,0,0.0,1.0,0,4
C0048,70.0,3,4,1338718.0,334679.5,1026.3200000000002,0,1,0.0,1.0,0,4
C0049,55.0,1,4,1390091.2,347522.8,1204.3675,0,0,0.0,1.0,0,5
C0050,86.0,5,9,2744452.35,304939.15,993.5088888888889,0,0,0.1111111111111111,0.8888888888888888,0,1
C0051,86.0,3,4,1270440.42,317610.105,1039.56,0,0,0.0,1.0,0,4
C0052,60.0,2,4,1474211.53,368552.8825,1187.925,1,0,0.0,1.0,0,6
C0053,72.0,4,4,1120539.44,280134.86,929.245,0,0,0.0,1.0,0,4
C0054,60.0,5,6,2109277.6,351546.26666666666,1115.6333333333334,1,0,0.6666666666666666,0.3333333333333333,1,3
C0055,53.0,5,4,1178979.21,294744.8025,989.8299999999999,0,1,0.0,1.0,0,4
C0056,62.0,5,4,1579301.3599999999,394825.33999999997,1355.5975,1,0,0.25,0.75,0,0
C0057,93.0,4,5,2020519.52,404103.904,1344.1439999999998,0,1,0.2,0.8,0,0
C0058,58.0,1,5,1441406.17,288281.234,919.8399999999999,1,1,0.4,0.6,1,3
C0059,66.0,2,4,1278854.25,319713.5625,1102.44,0,0,0.25,0.75,0,2
C0060,54.0,5,4,1355662.25,338915.5625,1119.4675,0,0,0.0,1.0,0,4
C0061,59.0,5,4,1306907.58,326726.895,1101.62,0,0,0.0,1.0,0,4
C0062,52.0,5,5,1489333.49,297866.698,1059.8319999999999,0,1,0.0,1.0,0,4
C0063,84.0,4,5,1625480.88,325096.176,1112.538,0,0,0.0,1.0,0,4
C0064,52.0,4,4,1448881.28,362220.32,1095.85,1,0,0.0,1.0,0,6
C0065,54.0,1,4,1557125.73,389281.4325,1261.5275,0,0,0.25,0.75,0,0
C0066,52.0,3,4,1107164.17,276791.0425,932.7550000000001,1,0,0.25,0.75,0,2
C0067,49.0,2,5,1431941.84,286388.368,851.818,0,0,0.2,0.8,0,2
C0068,61.0,5,4,1572779.33,393194.8325,1450.2925,0,1,0.25,0.75,0,0
C0069,57.0,4,5,1439142.47,287828.494,957.588,1,0,0.0,1.0,0,6
C0070,79.0,4,5,1521570.62,304314.124,1039.274,0,1,0.2,0.8,0,7
C0071,41.0,1,5,1150384.09,230076.81800000003,833.3799999999999,0,1,0.0,1.0,0,4
C0072,74.0,2,6,2246488.58,374414.76333333337,1129.4916666666666,1,0,0.16666666666666666,0.8333333333333334,0,1
C0073,61.0,1,4,1413902.33,353475.5825,1194.0325,1,0,0.0,1.0,0,6
C0074,68.0,5,5,1709458.65,341891.73,1138.044,1,0,0.4,0.6,0,2
C0075,56.0,3,4,1269395.74,317348.935,1048.3425,0,0,0.25,0.75,0,2
C0076,71.0,5,6,1905852.0899999999,317642.01499999996,1067.28,0,0,0.0,1.0,0,1
C0077,46.0,5,5,1880012.18,376002.436,1191.826,0,0,0.4,0.6,0,0
C0078,78.0,5,4,1685882.3900000001,421470.59750000003,1415.63,0,0,0.0,1.0,0,5
C0079,73.0,4,4,1456436.3,364109.075,1219.0675,1,0,0.5,0.5,0,2
C0080,78.0,3,5,1427531.56,285506.31200000003,965.024,1,0,0.0,1.0,0,6
C0081,83.0,4,4,1522144.26,380536.065,1252.745,0,1,0.25,0.75,0,0
C0082,45.0,5,5,1282267.95,256453.59,884.2239999999999,1,0,0.0,1.0,0,6
C0083,88.0,5,6,1513641.46,252273.57666666666,851.395,0,0,0.0,1.0,0,4
C0084,79.0,3,5,1762231.92,352446.38399999996,1083.6119999999999,0,0,0.4,0.6,0,2
C0085,60.0,4,4,1185505.46,296376.365,986.395,0,1,0.0,1.0,0,4
C0086,58.0,3,5,1928188.6099999999,385637.72199999995,1354.634,0,1,0.0,1.0,0,5
C0087,47.0,4,4,1681153.28,420288.32,1287.6625,0,0,0.25,0.75,0,0
C0088,90.0,2,6,1450519.57,241753.2616666667,786.9733333333334,1,0,0.16666666666666666,0.8333333333333334,0,2
C0089,77.0,3,4,1041853.81,260463.4525,854.79,0,0,0.0,1.0,0,4
C0090,44.0,5,5,980850.4199999999,196170.08399999997,703.798,0,0,0.0,1.0,0,4
C0091,67.0,4,4,1356644.74,339161.185,1161.6775,0,0,0.0,1.0,0,4
C0092,55.0,3,8,2817926.96,352240.87,1218.0425,0,0,0.125,0.875,0,1
C0093,64.0,2,5,1732558.38,346511.676,1196.466,0,0,0.0,1.0,0,5
C0094,78.0,5,5,1062675.82,212535.16400000002,692.664,0,0,0.2,0.8,0,2
C0095,63.0,3,6,1668973.02,278162.17,923.105,0,1,0.3333333333333333,0.6666666666666666,0,7
C0096,41.0,3,4,1363013.17,340753.2925,1113.615,1,1,0.0,1.0,0,6
C0097,83.0,5,7,2189906.04,312843.72000000003,1061.722857142857,0,1,0.2857142857142857,0.7142857142857143,0,1
